Year,CH4
1700,706.0540212
1701,706.247004191
1702,706.375030518
1703,706.491002401
1704,706.602045695
1705,706.857014974
1706,707.023010254
1707,707.068003337
1708,706.967000326
1709,706.883031209
1710,706.789962769
1711,706.597056071
1712,706.630986532
1713,706.62004598
1714,706.669987996
1715,706.629043579
1716,706.729014079
1717,706.861058553
1718,707.174041748
1719,707.534011841
1720,707.630966187
1721,707.544128418
1722,708.448226929
1723,710.334014893
1724,711.864064535
1725,713.037002563
1726,714.031158447
1727,715.513020833
1728,716.672032674
1729,717.805206299
1730,719.64205424
1731,721.395095825
1732,722.884913127
1733,723.513046265
1734,723.76288859
1735,723.035914103
1736,722.043106079
1737,721.684946696
1738,721.378112793
1739,721.650024414
1740,722.161112467
1741,723.133071899
1742,724.37512207
1743,725.917048136
1744,727.300059001
1745,728.618087769
1746,729.704874674
1747,729.832082113
1748,730.233098348
1749,730.97698466
1750,731.405995687
1751,731.838165283
1752,732.899973551
1753,733.634038289
1754,734.202021281
1755,734.736078898
1756,735.421000163
1757,735.893030802
1758,736.206995646
1759,736.098887126
1760,735.484171549
1761,735.763020833
1762,736.303105672
1763,737.181040446
1764,738.103062948
1765,738.986038208
1766,739.831085205
1767,740.728983561
1768,741.222056071
1769,741.747049967
1770,742.301015218
1771,742.871164958
1772,744.018966675
1773,744.662984212
1774,744.878072103
1775,745.367060343
1776,746.048070272
1777,746.736918132
1778,746.751057943
1779,746.907023112
1780,747.231063843
1781,747.76604716
1782,748.290018717
1783,748.627029419
1784,748.934026082
1785,749.252039591
1786,749.563980103
1787,749.669082642
1788,750.161020915
1789,750.64704895
1790,751.164037069
1791,751.708053589
1792,752.278015137
1793,752.682067871
1794,753.252044678
1795,753.841064453
1796,754.518051147
1797,755.256072998
1798,756.113047282
1799,756.942047119
1800,757.762049357
1801,758.584060669
1802,759.507069906
1803,760.508046468
1804,761.541081746
1805,762.671056112
1806,763.799077352
1807,765.022079468
1808,766.319081624
1809,767.65508016
1810,769.147115072
1811,770.718043009
1812,772.210118612
1813,773.700993856
1814,774.828135173
1815,776.140019735
1816,777.380157471
1817,778.991032918
1818,780.303049723
1819,781.426050822
1820,782.427078247
1821,783.568130493
1822,784.956054688
1823,786.221074422
1824,787.475072225
1825,788.714060465
1826,789.831044515
1827,790.870091756
1828,791.983042399
1829,793.000071208
1830,793.960027059
1831,794.810073853
1832,795.578984578
1833,796.12411499
1834,797.044036865
1835,797.830968221
1836,798.10601298
1837,798.115982056
1838,797.937016805
1839,797.922098796
1840,798.387049357
1841,799.060084025
1842,800.001118978
1843,801.492182414
1844,803.619074504
1845,805.66506958
1846,807.255956014
1847,807.936981201
1848,808.092041016
1849,808.215001424
1850,808.249028524
1851,808.414108276
1852,809.163131714
1853,810.404057821
1854,811.732142131
1855,813.332036336
1856,814.796122233
1857,816.45211792
1858,818.35512797
1859,820.396077474
1860,822.31211853
1861,824.399190267
1862,827.029200236
1863,830.166213989
1864,833.604141235
1865,836.894205729
1866,840.362208049
1867,843.995122274
1868,847.249125163
1869,850.130086263
1870,852.435007731
1871,853.99307251
1872,855.232991536
1873,856.168197632
1874,857.820078532
1875,859.469065348
1876,860.859105428
1877,862.379114787
1878,864.139149984
1879,866.283162435
1880,868.696105957
1881,870.984125773
1882,873.250137329
1883,875.603149414
1884,878.148203532
1885,881.025131226
1886,883.83921814
1887,886.933135986
1888,889.926213582
1889,893.156158447
1890,896.383183797
1891,899.666264852
1892,903.534194946
1893,907.274119059
1894,910.478134155
1895,913.225982666
1896,914.771092733
1897,916.27428182
1898,919.017227173
1899,922.281183879
1900,925.552113851
1901,928.800333659
1902,932.731160482
1903,936.783426921
1904,942.114267985
1905,947.443272909
1906,953.092422485
1907,959.156117757
1908,964.085296631
1909,969.398366292
1910,974.78708903
1911,979.465321859
1912,983.605860392
1913,986.242319743
1914,988.610880534
1915,991.461079915
1916,998.453821818
1917,1003.57055155
1918,1010.13044739
1919,1017.63036601
1920,1025.07032776
1921,1032.20033773
1922,1039.10025024
1923,1045.13006592
1924,1049.45003255
1925,1052.1599528
1926,1053.60010783
1927,1055.77056885
1928,1060.64036051
1929,1066.66032918
1930,1072.64011637
1931,1077.4902242
1932,1081.96022542
1933,1086.54033407
1934,1091.77029419
1935,1097.08012899
1936,1101.83030192
1937,1106.31998698
1938,1110.63079834
1939,1116.90967814
1940,1120.12017822
1941,1123.24050903
1942,1128.19015503
1943,1132.66015625
1944,1136.27006022
1945,1139.32036336
1946,1143.66049194
1947,1149.64029948
1948,1155.63016764
1949,1160.34994507
1950,1163.82056681
1951,1168.81011963
1952,1174.31088257
1953,1183.36065674
1954,1194.43060303
1955,1206.65092977
1956,1221.10079956
1957,1235.80018107
1958,1247.42048136
1959,1257.32007853
1960,1264.11987305
1961,1269.46152751
1962,1282.57128906
1963,1300.79057821
1964,1317.37045288
1965,1331.06028239
1966,1342.24050903
1967,1354.27155558
1968,1371.65046183
1969,1389.34175618
1970,1411.10051473
1971,1431.12096151
1972,1449.29001872
1973,1462.86067708
1974,1476.14090983
1975,1491.7409668
1976,1509.11095174
1977,1527.68094889
1978,1546.89089966
1979,1566.16085815
1980,1584.94073486
1981,1602.65062459
1982,1618.73053996
1983,1632.62014771
1984,1644.69
1985,1657.28
1986,1670.08
1987,1682.71
1988,1693.19
1989,1704.54
1990,1714.42
1991,1724.9
1992,1735.51
1993,1736.49
1994,1742.06
1995,1748.81
1996,1751.46
1997,1754.54
1998,1765.54
1999,1772.39
2000,1773.37
2001,1771.24
2002,1772.69
2003,1777.32
2004,1777.03
2005,1774.14
2006,1774.97
2007,1781.39
2008,1787.01
2009,1793.54
2010,1798.89
2011,1803.11
2012,1808.03
2013,1813.4
2014,1822.61
2015,1834.25
2016,1843.15
2017,1849.67
2018,1857.31
2019,1866.59
2020,1878.95
2021,1895.29
2022,1911.84
